episode,reward,steps,success,reached_pickup,completed_delivery,collisions,penalty_zone_visits
159,-6368.0,340,0,0,0,60,10
160,-6134.0,340,0,0,0,58,0
161,-5346.0,340,0,0,0,50,0
162,-4277.0,340,0,0,0,39,0
163,-5455.0,340,0,0,0,51,0
164,-7861.0,340,0,0,0,75,19
165,-6251.0,340,0,0,0,59,0
166,-7150.0,340,0,0,0,68,0
167,-7431.0,340,0,0,0,71,0
168,-7595.0,340,0,0,0,72,32
169,-7832.0,340,0,0,0,74,59
170,-7927.0,340,0,0,0,76,0
171,-6749.0,340,0,0,0,64,3
172,-6145.0,340,0,0,0,58,0
173,-7134.0,340,0,0,0,68,0
174,-6942.0,340,0,0,0,66,0
175,-3982.0,340,0,0,0,36,0
176,-6938.0,340,0,0,0,66,0
177,-7710.0,340,0,0,0,73,49
178,-9387.0,340,0,0,0,90,48
179,-5563.0,340,0,0,0,52,0
180,-6831.0,340,0,0,0,65,0
181,-5768.0,340,0,0,0,54,0
182,-4472.0,340,0,0,0,41,0
183,-5250.0,340,0,0,0,49,1
184,-6386.0,340,0,0,0,60,22
185,-7841.0,340,0,0,0,75,1
186,-4966.0,340,0,0,0,46,0
187,-8072.0,340,0,0,0,77,14
188,-5752.0,340,0,0,0,54,0
189,-5759.0,340,0,0,0,54,0
190,-5258.0,340,0,0,0,49,0
191,-7051.0,340,0,0,0,67,0
192,-5154.0,340,0,0,0,48,0
193,-4760.0,340,0,0,0,44,0
194,-4064.0,340,0,0,0,37,0
195,-6337.0,340,0,0,0,60,0
196,-7452.0,340,0,0,0,71,8
197,-5589.0,340,0,0,0,52,22
198,-5450.0,340,0,0,0,51,0
199,-7958.0,340,0,0,0,76,17
200,-6727.0,340,0,0,0,63,50
201,-6614.0,340,0,1,0,63,4
202,-5476.0,340,0,0,0,51,15
203,-7201.0,340,0,0,0,68,33
204,-4669.0,340,0,0,0,43,0
205,-7286.0,340,0,0,0,69,32
206,-7966.0,340,0,0,0,76,20
207,-6822.0,340,0,0,0,64,40
208,-4363.0,340,0,0,0,40,0
209,-5056.0,340,0,0,0,47,0
210,-6786.0,340,0,0,0,64,22
