episode,reward,steps,success,reached_pickup,completed_delivery,collisions,penalty_zone_visits
159,-4380.0,220,0,0,0,41,17
160,-3436.0,220,0,0,0,32,0
161,-4116.0,220,0,0,0,39,0
162,-3478.0,220,0,0,0,32,4
163,-2869.0,220,0,1,0,26,10
164,-3974.0,220,0,0,0,37,8
165,-3445.0,220,0,0,0,32,9
166,-4425.0,220,0,0,0,42,0
167,-3529.0,220,0,0,0,33,0
168,-3761.0,220,0,0,0,35,4
169,-2863.0,220,0,0,0,26,11
170,-3281.0,220,0,0,0,30,0
171,-4229.0,220,0,0,0,40,2
172,-2852.0,220,0,0,0,26,7
173,-3395.0,220,0,0,0,31,21
174,-3240.0,220,0,0,0,30,9
175,-2733.0,220,0,1,0,25,16
176,-2255.0,171,1,1,1,22,1
177,-3841.0,220,0,0,0,36,3
178,-4128.0,220,0,0,0,39,3
179,-3636.0,220,0,0,0,34,0
180,-3371.0,220,0,0,0,31,22
181,-3231.0,220,0,0,0,30,0
182,-3480.0,220,0,0,0,32,5
183,-3244.0,220,0,0,0,30,1
184,-4550.0,220,0,0,0,43,18
185,-3639.0,220,0,0,0,34,0
186,-4815.0,220,0,0,0,46,3
187,-2575.0,220,0,0,0,23,9
188,-3132.0,220,0,0,0,29,0
189,-3739.0,220,0,0,0,35,2
190,-3919.0,220,0,1,0,37,3
191,-4139.0,220,0,0,0,39,4
192,-4397.0,220,0,0,0,41,13
193,-3169.0,220,0,0,0,29,5
194,-3870.0,220,0,0,0,36,4
195,-3741.0,220,0,0,0,35,2
196,-4161.0,220,0,0,0,39,3
197,-4196.0,220,0,1,0,40,2
198,-4922.0,220,0,0,0,47,1
199,-3929.0,220,0,0,0,37,0
200,-3851.0,220,0,0,0,36,4
201,-4124.0,220,0,0,0,39,0
202,-3630.0,220,0,0,0,34,0
203,-3661.0,220,0,0,0,34,18
204,-3979.0,220,0,0,0,37,12
205,-3910.0,220,0,1,0,37,5
206,-3956.0,220,0,0,0,37,4
207,-4181.0,220,0,0,0,39,35
208,-3334.0,220,0,0,0,31,0
209,-3341.0,220,0,0,0,31,1
210,-5044.0,220,0,0,0,48,2
211,-4150.0,220,0,0,0,39,1
212,-3925.0,220,0,0,0,36,27
213,-4314.0,220,0,0,0,40,15
214,-3846.0,220,0,0,0,36,3
215,-4438.0,220,0,0,0,42,2
216,-3967.0,220,0,0,0,37,4
217,-3409.0,220,0,1,0,32,4
218,-3920.0,220,0,0,0,37,0
219,-2840.0,220,0,1,0,26,11
220,-3570.0,220,0,0,0,33,20
221,-5751.0,220,0,1,0,55,35
222,-2949.0,220,0,0,0,27,1
223,-4232.0,220,0,0,0,40,0
224,-3704.0,220,0,0,0,34,37
225,-3847.0,220,0,0,0,36,2
226,-2671.0,220,0,0,0,24,6
227,-4028.0,220,0,0,0,38,0
228,-5501.0,220,0,0,0,53,0
229,-3862.0,220,0,0,0,36,12
230,-2440.0,220,0,0,0,22,0
231,-3055.0,220,0,0,0,28,12
232,-3731.0,220,0,0,0,35,0
233,-3997.0,220,0,0,0,37,13
234,-5120.0,220,0,0,0,49,1
235,-3264.0,220,0,0,0,30,4
236,-4222.0,220,0,0,0,40,0
237,-3142.0,220,0,0,0,29,6
238,-3635.0,220,0,0,0,34,2
239,-5267.0,220,0,0,0,50,6
240,-4235.0,220,0,0,0,40,6
241,-3059.0,220,0,0,0,28,5
242,-4339.0,220,0,0,0,41,2
243,-3722.0,220,0,0,0,35,0
244,-4061.0,220,0,0,0,38,15
245,-4422.0,220,0,0,0,42,3
246,-3622.0,220,0,0,0,34,0
247,-3555.0,220,0,0,0,33,4
248,-4316.0,220,0,0,0,41,0
249,-3429.0,220,0,0,0,32,0
250,-3633.0,220,0,0,0,34,4
251,-4912.0,220,0,0,0,47,0
252,-3361.0,220,0,0,0,31,0
253,-3963.0,220,0,0,0,37,3
254,-3620.0,220,0,1,0,34,5
255,-3463.0,220,0,0,0,32,4
256,-1970.0,220,0,0,0,17,2
257,-4825.0,220,0,0,0,46,1
258,-2861.0,220,0,0,0,26,2
259,-4332.0,220,0,0,0,41,0
260,-2409.0,220,0,1,0,22,1
261,-4068.0,220,0,0,0,38,8
262,-2654.0,220,0,0,0,24,2
263,-2998.0,220,0,0,0,27,7
264,-2636.0,220,0,0,0,24,2
265,-2889.0,220,0,0,0,26,20
266,-3810.0,220,0,1,0,36,1
267,-4026.0,220,0,0,0,38,0
268,-3676.0,220,0,0,0,34,5
269,-3239.0,220,0,0,0,30,0
270,-2932.0,220,0,0,0,27,1
271,-3653.0,220,0,0,0,34,2
272,-3633.0,220,0,0,0,34,2
273,-2735.0,220,0,0,0,25,0
274,-4024.0,220,0,0,0,38,1
275,-2634.0,220,0,0,0,23,32
276,-5325.0,220,0,0,0,51,6
277,-5323.0,220,0,0,0,51,2
278,-3254.0,220,0,0,0,30,0
279,-3327.0,220,0,0,0,31,0
280,-3139.0,220,0,0,0,29,0
281,-4228.0,220,0,0,0,40,6
282,-3743.0,220,0,0,0,35,0
283,-3922.0,220,0,0,0,37,0
284,-3650.0,220,0,0,0,34,2
285,-3447.0,220,0,0,0,32,2
286,-2575.0,220,0,0,0,23,4
287,-2761.0,220,0,0,0,25,4
288,-3610.0,220,0,0,0,33,23
289,-4205.0,220,0,0,0,39,8
290,-3729.0,220,0,0,0,35,0
291,-3355.0,220,0,0,0,31,1
292,-2175.0,220,0,0,0,19,6
293,-4234.0,220,0,0,0,40,1
294,-3370.0,220,0,0,0,31,0
295,-3258.0,220,0,0,0,30,7
296,-4346.0,220,0,0,0,41,9
297,-2970.0,220,0,0,0,27,11
298,-3433.0,220,0,0,0,32,2
299,-4194.0,220,0,1,0,40,0
300,-3749.0,220,0,0,0,35,10
301,-3144.0,220,0,0,0,29,6
302,-3207.0,220,0,1,0,30,1
303,-3730.0,220,0,0,0,35,1
304,-3228.0,220,0,0,0,30,0
305,-4123.0,220,0,0,0,39,0
306,-2703.0,220,0,0,0,24,29
307,-4416.0,220,0,0,0,42,0
308,-2695.0,220,0,0,0,24,6
309,-4046.0,220,0,0,0,38,2
310,-3011.0,220,0,1,0,28,0
311,-3117.0,220,0,1,0,29,0
312,-4322.0,220,0,0,0,41,0
313,-3428.0,220,0,0,0,32,3
314,-3821.0,220,0,0,0,36,0
315,-4785.0,220,0,0,0,45,39
316,-3553.0,220,0,0,0,33,3
317,-3368.0,173,1,1,1,33,3
318,-2944.0,220,0,0,0,27,0
319,-6003.0,220,0,0,0,58,0
320,-3343.0,220,0,0,0,31,2
321,-2737.0,220,0,0,0,25,0
322,-3777.0,220,0,0,0,35,6
323,-4731.0,220,0,0,0,45,4
324,-2954.0,220,0,0,0,27,2
325,-3567.0,220,0,0,0,33,12
326,-3728.0,220,0,0,0,35,0
327,-3676.0,220,0,0,0,34,6
328,-4222.0,220,0,0,0,40,0
329,-4372.0,220,0,0,0,41,24
330,-5416.0,220,0,0,0,52,7
331,-3233.0,220,0,0,0,30,0
332,-3374.0,220,0,0,0,31,22
333,-3136.0,220,0,0,0,29,0
334,-3337.0,220,0,0,0,30,42
335,-3742.0,220,0,0,0,35,2
336,-4486.0,220,0,1,0,43,1
337,-2543.0,220,0,0,0,23,0
338,-2933.0,220,0,0,0,27,0
339,-2439.0,220,0,0,0,22,0
340,-3273.0,220,0,0,0,30,5
341,-4025.0,220,0,0,0,38,0
342,-3502.0,220,0,1,0,33,0
343,-4223.0,220,0,1,0,40,9
344,-3440.0,220,0,0,0,32,3
345,-2936.0,220,0,0,0,27,0
346,-3921.0,220,0,0,0,37,0
347,-3738.0,220,0,0,0,35,9
348,-3102.0,220,0,1,0,29,3
349,-3431.0,220,0,0,0,32,1
350,-3593.0,220,0,1,0,34,0
351,-3607.0,211,1,1,1,35,11
352,-4078.0,220,0,0,0,38,7
353,-2529.0,220,0,1,0,23,0
354,-3866.0,220,0,0,0,36,5
355,-4022.0,220,0,0,0,38,0
356,-2344.0,220,0,0,0,21,0
357,-3359.0,220,0,0,0,31,6
358,-2564.0,220,0,0,0,23,0
359,-3234.0,220,0,0,0,30,0
360,-4844.0,220,0,0,0,46,11
361,-5018.0,220,0,0,0,48,8
362,-3434.0,220,0,0,0,32,1
363,-2833.0,220,0,0,0,26,0
364,-3146.0,220,0,0,0,29,5
365,-3231.0,220,0,0,0,30,0
366,-4243.0,220,0,0,0,40,8
367,-2817.0,220,0,0,0,25,11
368,-4719.0,220,0,0,0,45,0
369,-3740.0,220,0,1,0,35,5
370,-3535.0,220,0,0,0,33,0
371,-3537.0,220,0,0,0,33,1
372,-3532.0,220,0,0,0,33,1
373,-3258.0,220,0,0,0,30,3
374,-3825.0,220,0,1,0,36,2
375,-3911.0,216,1,1,1,38,10
376,-3916.0,220,0,0,0,37,0
377,-3095.0,220,0,1,0,29,0
378,-3473.0,220,0,0,0,32,6
379,-4255.0,220,0,0,0,40,13
380,-2976.0,220,0,0,0,27,6
381,-2427.0,220,0,0,0,22,0
382,-2564.0,187,1,1,1,25,0
383,-4329.0,220,0,0,0,41,7
384,-4625.0,220,0,0,0,44,1
385,-4146.0,220,0,1,0,39,28
386,-3139.0,220,0,0,0,29,0
387,-3657.0,220,0,0,0,34,14
388,-3923.0,220,0,0,0,37,0
389,-4633.0,220,0,0,0,44,0
390,-4311.0,220,0,0,0,40,32
391,-3938.0,220,0,0,0,37,0
392,-3820.0,220,0,0,0,36,0
393,-3305.0,220,0,1,0,31,2
394,-3044.0,220,0,0,0,28,0
395,-3956.0,220,0,1,0,37,24
396,-2581.0,220,0,0,0,23,19
397,-2864.0,220,0,0,0,26,13
398,-4524.0,220,0,0,0,43,5
399,-2277.0,220,0,0,0,20,13
400,-4322.0,220,0,0,0,41,0
401,-3883.0,220,0,0,0,36,7
402,-3170.0,220,0,0,0,29,15
403,-4226.0,220,0,0,0,40,4
404,-3386.0,220,0,0,0,31,24
405,-1810.0,129,1,1,1,18,1
406,-3608.0,220,0,1,0,34,1
407,-3144.0,220,0,0,0,29,2
408,-3500.0,220,0,1,0,33,7
409,-4030.0,220,0,0,0,38,0
410,-3541.0,220,0,0,0,33,4
411,-2133.0,220,0,0,0,18,7
412,-2910.0,220,0,1,0,27,0
413,-3295.0,220,0,1,0,31,0
414,-3244.0,220,0,0,0,30,10
415,-2742.0,220,0,0,0,25,0
416,-3754.0,220,0,0,0,35,14
417,-4235.0,220,0,0,0,39,11
418,-4058.0,220,0,0,0,38,16
419,-3934.0,220,0,0,0,37,1
420,-3052.0,220,0,0,0,28,3
421,-4522.0,220,0,0,0,43,0
422,-2945.0,220,0,0,0,27,0
423,-2942.0,220,0,0,0,27,5
424,-3329.0,220,0,0,0,31,0
425,-4531.0,220,0,0,0,43,3
426,-2951.0,220,0,0,0,27,1
427,-4800.0,220,0,1,0,46,4
428,-4849.0,220,0,0,0,46,18
429,-2911.0,220,0,1,0,27,0
430,-3727.0,220,0,0,0,35,0
431,-2972.0,220,0,0,0,27,4
432,-4029.0,220,0,0,0,38,4
433,-4041.0,220,0,0,0,38,2
434,-3831.0,220,0,0,0,36,1
435,-3447.0,220,0,0,0,32,2
436,-4762.0,220,0,0,0,45,12
437,-3500.0,220,0,1,0,33,0
438,-2839.0,220,0,0,0,26,0
439,-3217.0,220,0,1,0,30,0
440,-3716.0,220,0,0,0,34,11
441,-3450.0,220,0,0,0,32,3
442,-2347.0,220,0,0,0,21,0
443,-3516.0,220,0,1,0,33,7
444,-2436.0,220,0,1,0,22,0
445,-4426.0,220,0,0,0,41,18
446,-2933.0,220,0,0,0,27,0
447,-3226.0,220,0,0,0,30,0
448,-3543.0,220,0,0,0,33,2
449,-2745.0,220,0,0,0,25,8
450,-3558.0,220,0,0,0,33,1
451,-3749.0,220,0,0,0,35,8
452,-3524.0,220,0,0,0,33,0
453,-2946.0,220,0,0,0,27,1
454,-4068.0,220,0,0,0,38,6
455,-2770.0,220,0,0,0,25,7
456,-4623.0,220,0,0,0,44,2
457,-3653.0,220,0,0,0,34,17
